Runs,Mins,BF,4s,6s,SR,Pos,Dismissal,Inns,Ground,Start Date,Format,Oppositions,100s,50s,200s
,,,,,,,,2,Belfast,23-Jun-07,ODI,Ireland,0,0,0
8.0,13,9,0,0,88.88,7,bowled,1,Belfast,26-Jun-07,ODI,South Africa,0,0,0
,,,,,,,,1,Durban,19-Sep-07,T20I,England,0,0,0
50.0,52,40,7,2,125,5,not out,1,Durban,20-Sep-07,T20I,South Africa,0,1,0
8.0,11,5,0,1,160,6,not out,1,Durban,22-Sep-07,T20I,Australia,0,0,0
30.0,22,16,2,1,187.5,6,not out,1,Johannesburg,24-Sep-07,T20I,Pakistan,0,0,0
1.0,3,4,0,0,25,7,caught,2,Hyderabad,05-Oct-07,ODI,Australia,0,0,0
,,,,,,,,2,Brabourne,20-Oct-07,T20I,Australia,0,0,0
52.0,82,61,3,1,85.24,5,caught,2,Jaipur,18-Nov-07,ODI,Pakistan,0,1,0
8.0,15,8,1,0,100,5,bowled,1,Melbourne,01-Feb-08,T20I,Australia,0,0,0
29.0,68,43,5,0,67.44,4,caught,1,Brisbane,03-Feb-08,ODI,Australia,0,0,0
0.0,1,2,0,0,0,5,caught,1,Brisbane,05-Feb-08,ODI,Sri Lanka,0,0,0
39.0,86,61,2,0,63.93,6,not out,2,Melbourne,10-Feb-08,ODI,Australia,0,0,0
70.0,93,64,6,1,109.37,4,not out,1,Canberra,12-Feb-08,ODI,Sri Lanka,0,1,0
1.0,12,3,0,0,33.33,4,caught,2,Adelaide,17-Feb-08,ODI,Australia,0,0,0
24.0,74,36,1,0,66.66,4,caught,2,Adelaide,19-Feb-08,ODI,Sri Lanka,0,0,0
1.0,3,3,0,0,33.33,4,caught,2,Sydney,24-Feb-08,ODI,Australia,0,0,0
3.0,8,7,0,0,42.85,5,not out,2,Hobart,26-Feb-08,ODI,Sri Lanka,0,0,0
66.0,108,87,6,0,75.86,5,bowled,2,Sydney,02-Mar-08,ODI,Australia,0,1,0
2.0,6,5,0,0,40,6,caught,1,Brisbane,04-Mar-08,ODI,Australia,0,0,0
9.0,28,27,0,0,33.33,5,bowled,1,Mirpur,10-Jun-08,ODI,Pakistan,0,0,0
26.0,50,43,1,1,60.46,3,caught,2,Mirpur,12-Jun-08,ODI,Bangladesh,0,0,0
24.0,43,27,5,0,88.88,3,caught,2,Mirpur,14-Jun-08,ODI,Pakistan,0,0,0
11.0,37,29,0,0,37.93,3,run out,1,Karachi,25-Jun-08,ODI,Hong Kong,0,0,0
0.0,3,1,0,0,0,6,not out,2,Karachi,26-Jun-08,ODI,Pakistan,0,0,0
22.0,28,23,2,0,95.65,3,caught,2,Karachi,28-Jun-08,ODI,Bangladesh,0,0,0
58.0,81,71,4,0,81.69,6,caught,1,Karachi,02-Jul-08,ODI,Pakistan,0,1,0
22.0,37,28,2,0,78.57,6,not out,2,Karachi,03-Jul-08,ODI,Sri Lanka,0,0,0
3.0,8,8,0,0,37.5,6,lbw,2,Karachi,06-Jul-08,ODI,Sri Lanka,0,0,0
