Runs,Mins,BF,4s,6s,SR,Pos,Dismissal,Inns,Opposition,Ground,Start Date,Format,100s,50s,200s
12.0,33,22,1,0,54.54,2,lbw,1,ODI v Sri Lanka,Dambulla,18-Aug-08,ODI,0,0,0
37.0,82,67,6,0,55.22,2,caught,2,ODI v Sri Lanka,Dambulla,20-Aug-08,ODI,0,0,0
25.0,40,38,4,0,65.78,1,run out,1,ODI v Sri Lanka,Colombo (RPS),24-Aug-08,ODI,0,0,0
54.0,87,66,7,0,81.81,1,bowled,1,ODI v Sri Lanka,Colombo (RPS),27-Aug-08,ODI,0,1,0
31.0,45,46,3,1,67.39,1,lbw,2,ODI v Sri Lanka,Colombo (RPS),29-Aug-08,ODI,0,0,0
2.0,6,2,0,0,100,7,not out,1,ODI v Sri Lanka,Colombo (RPS),14-Sep-09,ODI,0,0,0
16.0,28,24,1,0,66.66,4,caught,2,ODI v Pakistan,Centurion,26-Sep-09,ODI,0,0,0
,,,,,,,,-,ODI v Australia,Centurion,28-Sep-09,ODI,0,0,0
79.0,121,104,9,2,75.96,4,not out,2,ODI v West Indies,Johannesburg,30-Sep-09,ODI,0,1,0
30.0,53,41,3,0,73.17,4,caught,2,ODI v Australia,Vadodara,25-Oct-09,ODI,0,0,0
10.0,32,16,1,0,62.5,3,caught,2,ODI v Australia,Mohali,02-Nov-09,ODI,0,0,0
27.0,20,19,4,0,142.1,7,bowled,1,ODI v Sri Lanka,Rajkot,15-Dec-09,ODI,0,0,0
54.0,93,65,7,0,83.07,4,lbw,1,ODI v Sri Lanka,Nagpur,18-Dec-09,ODI,0,1,0
107.0,,114,11,1,93.85,4,caught,2,ODI v Sri Lanka,Eden Gardens,24-Dec-09,ODI,1,0,0
,,,,,,,,-,ODI v Sri Lanka,Delhi,27-Dec-09,ODI,0,0,0
9.0,19,12,1,0,75,3,caught,1,ODI v Sri Lanka,Mirpur,05-Jan-10,ODI,0,0,0
